,"Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)"
,"2025","2025","2025","2020","2020","2020","2019","2019","2019","2018","2018","2018","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Countries, territories and areas","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Comoros","17.5","26.9","8.1","20.3","29.5","11.1","20.8","29.9","11.7","20.8","30.5","12.5","23.5","32","15","27.7","34.8","20.5","32.8","37.8","27.8","39.5","41.1","37.9"
"Congo","15.8","29.9","1.7","14.5","26.8","2.1","14.3","26.4","2.2","14.3","25.8","2.3","13.5","24.3","2.7","12.8","22.2","3.4","12.2","19.9","4.4","11.9","18.2","5.6"
"Cook Islands","20.4","23.6","17.2","24","27.7","20.3","24.6","28.3","20.8","24.6","29.2","21.7","27.9","31.9","23.8","32.5","37.2","27.7","38","43.4","32.6","44.3","50.3","38.3"
"Costa Rica","7.3","10.8","3.8","8.8","12.9","4.6","9.1","13.4","4.8","9.1","13.8","4.9","10.5","15.4","5.5","12.6","18.4","6.7","15","21.8","8.1","18","26.1","9.8"
"Côte d'Ivoire","7.9","15.2","0.6","9.4","17.9","0.9","9.7","18.5","0.9","9.7","19","1","11.1","21.1","1.1","13.2","24.9","1.5","15.8","29.4","2.1","18.7","34.5","2.8"
"Croatia","37.8","36.9","38.6","36.9","37.6","36.1","36.7","37.8","35.6","36.7","38","34.9","36.1","38.5","33.7","35.4","39.5","31.3","34.9","40.5","29.2","34.4","41.7","27.1"
"Cuba","14.7","21.5","7.8","17.9","25.5","10.3","18.7","26.4","10.9","18.7","27.4","11.5","22","30.5","13.4","27","36.3","17.7","33.2","43.2","23.2","40.8","51.3","30.3"
"Cyprus","34.1","44.2","23.9","35.1","47","23.2","35.5","47.7","23.2","35.5","48.3","22.9","36.4","50.1","22.7","37.7","53.2","22.2","39.2","56.7","21.6","40.9","60.6","21.1"
"Czechia","29.9","33.7","26.1","30.7","35","26.4","30.9","35.2","26.5","30.9","35.4","26.7","31.4","35.8","26.9","32.3","37.3","27.3","33.4","38.8","28","34.2","40.1","28.2"
"Democratic People's Republic of Korea","15.5","31","0","17.4","34.8","0","17.8","35.5","0","17.8","36.5","0","19.6","39.2","0","22.3","44.5","0","25.2","50.4","0","28.5","56.9","0"
